Ticket ID,Error Name,Ticket link,Ticket type,POI name,Last Editor Notes,Last Editor Resolution,L1 Resolution,L1 Markings,L2 Resolution,L2 Markings,Customer comment,Suggested fields,Edited fields,Spam Customer Suggestions,Procedural marking?,Other markings made along with procedural marking?,All customer-suggested fields edited?,All customer-suggested fields have a corresponding dependent edit?,Edits made to all other fields QC marked?,Manual review - Name,Manual review - Date,Are customer issues resolved?,Any attribute errors remain on the POI?,Are there still discrepancies between research indicators and POI data?,Manual review comment,Automated warnings,Automated review comment,Automated update needed?,Correlation: P-W,Correlation: S-W,Correlation: T-X
180516741205458947,Failing To Provide 1 Strong Or 2 Medium Indicators,https://apollo.geo.apple.com/tickets/kittyhawk-sig/180516741205458947,POI Datascience (ApplePay New Contactless),[New] The Goods Spot,"
No Indicators Found | 
REJECT: Not Enough Information - Customer didn't provide enough information |",Rejection Reason POI - Not Enough Information,Rejected,Field New POI Error - Failing To Create A New POI | Closing Resolutions - Failing To Select Complete | Research And Comments Error - Failing To Provide 1 Strong Or 2 Medium Indicators,Rejected,,Please review if we are missing a POI or a Virtual POI and create it with Merchant Data per policy.,Geocode | Modern Category | Comment,New POI | Name | Address | Geocode | Modern Category | Good-to-know Tag,Geocode,Failing To Select Complete | Failing To Provide 1 Strong Or 2 Medium Indicators,Failing To Create A New POI,Yes,N/A,Yes,Josh,06/03/2025,Yes,No,No,Editor properly added the new POI per L1 markings: https://confluence.sd.apple.com/display/OPS/Apple+Pay+New+POIs,New POI added! Offline QC Rejected ticket! No Original col to pull previous Editor Edits from! Unable to determine field applicability of customer comment present!,"Note GEMINI ticket if could add a col for ""Source"" output

SKIP NON-JANA (will filter out beforehand next time)

still good example showing need to fix ""Edits made to all other fields QC marked"" to account for New POI edit.
FIXED this and spam col false positive",Done,1,0,1
180516830137286659,Failing To Provide 1 Strong Or 2 Medium Indicators,https://apollo.geo.apple.com/tickets/kittyhawk-sig/180516830137286659,POI Change Details (Unspecified),Pamukspor Spor Merkezi,"
[pafe_processor_todo_hours] Todo has reached minimum lifespan in NEEDS_TRIAGE status",Rejection Reason POI - Policy Violation,Rejected,Research And Comments Error - Failing To Provide 1 Strong Or 2 Medium Indicators,Rejected,Research And Comments Error - Failing To Provide 1 Strong Or 2 Medium Indicators,,Hours,,N/A,Failing To Provide 1 Strong Or 2 Medium Indicators,,No,No,Yes,Alexander,06/04/2025,Yes,No,No,"Editor failed to provide indicators, which were instead provided by L1. Not enough info to support customer suggested change for hours. 

Editor disputed action but dispute fell in favor if L1 QC. Editor then accepted dispute. No other markings. ",Offline QC Disputed Rejected ticket! Offline QC Rejected ticket!,"S+W No-Yes relation:

Editor rejected suggested change, which was the correct action but for the wrong reason. Data on POI is intact. ",No,0,1,1
185021048004024710,Failing To Provide 1 Strong Or 2 Medium Indicators,https://apollo.geo.apple.com/tickets/kittyhawk-sig/185021048004024710,POI Morrow (Morrow Maintenance New),Paninoteca Le Rose,"
This todo has been processed using translator |
Verified via 3rd Party Sources: News/Wikipedia/Internet searches | Link: https://m.yelp.com/biz/paninoteca-le-rose-gardone-riviera-2 |
found 1 medium indicator |
REJECT: Not Enough Information - Customer didn't provide enough information |Error Attribute :Failing To Provide 1 Strong Or 2 Medium Indicators",Rejection Reason POI - Not Enough InformationAcknowledge the QC Marked Error,Rejected,Closing Resolutions - Failing To Select Already Correct | Research And Comments Error - Failing To Provide 1 Strong Or 2 Medium IndicatorsREJECT: Not Enough Information - Customer didn't provide enough information,Rejected,Error Attribute :Failing To Provide 1 Strong Or 2 Medium Indicators,"

Verified existence no edits made the resolution should be reject already correct | Kindly check and update",,,N/A,Failing To Select Already Correct | Failing To Provide 1 Strong Or 2 Medium Indicators,,Yes,N/A,Yes,Elvis,06/03/2025,Yes,No,No,Duplicate | Failing to select reject already correct,"
Offline QC Rejected ticket! No Corrections col! 'is wrong' suggestions only!","Josh: ""Failing To Select Already Correct"" actually is a procedural marking, just not one included in the radar, I think we need to account for all after all even if trying to filter by the ones per radar",Done,1,1,1
185020401536991340,Failing To Provide 1 Strong Or 2 Medium Indicators,https://apollo.geo.apple.com/tickets/kittyhawk-sig/185020401536991340,POI Change Details (Unspecified),Gourmet Food Park,"
[pafe_processor_todo_hours] Todo has reached minimum lifespan in NEEDS_TRIAGE status",Rejection Reason POI - Not Enough Information,Approved,,Rejected,Research And Comments Error - Failing To Provide 1 Strong Or 2 Medium Indicators,"

",Hours,,N/A,Failing To Provide 1 Strong Or 2 Medium Indicators,,No,No,Yes,William,06/03/2025,Yes,No,No,Editor failed to provide indicators in notes.. no other markings.,"
Offline QA QC Rejected ticket! Flagged/Escalated ticket!","QC only marked for failing to provide enough indicators. automation will automatically skip since no other markings.


Alex: S+W No-Yes relation:
Editor rejected suggested change, which was the correct action but for the wrong reason. Data on POI is intact. ",Done,0,1,1
189524933164924934,Failing To Provide 1 Strong Or 2 Medium Indicators,https://apollo.geo.apple.com/tickets/kittyhawk-sig/189524933164924934,POI Morrow (Morrow Maintenance New),Malafemmena Caffe,"
“ This ToDo has been processed using translator “ |
Only one indicator found |
Verified via 3rd Party Sources: News/Wikipedia/Internet searches | Link: https://fr.restaurantguru.com/Bar-Malafemmena-Parma |
REJECT: Not Enough Information - Customer didn't provide enough information |",Rejection Reason POI - Not Enough Information,Rejected,Field Core Hours Error - Hours Not Matching Or Incorrect Hours | Closing Resolutions - Failing To Select Complete | Research And Comments Error - Failing To Provide 1 Strong Or 2 Medium Indicators,,,"

",,,N/A,Failing To Select Complete | Failing To Provide 1 Strong Or 2 Medium Indicators,Hours Not Matching Or Incorrect Hours,Yes,N/A,No,Josh,06/04/2025,No,Yes,Yes,,"
Offline QC Rejected ticket! No Corrections col! 'is wrong' suggestions only!",SKIP NON-JANA,,0,1,1
180518049594474496,Failing To Provide 1 Strong Or 2 Medium Indicators,https://apollo.geo.apple.com/tickets/kittyhawk-sig/180518049594474496,POI Change Details (High Priority),Speisesaal,"
sent to editor upon one or more processors' decision (poi_rap_pin_fsm::f3965a4f-136c-47b0-b9d2-7f214a3eb400)",Completion Reason POI - POI Changed,Rejected,Research And Comments Error - Failing To Provide 1 Strong Or 2 Medium Indicators,,,"

",Geocode,Geocode,N/A,Failing To Provide 1 Strong Or 2 Medium Indicators,,Yes,Yes,Yes,Alexander,06/04/2025,Yes,No,No,Editor failed to provide indicators. L1 provided them. Editor did not respond with accepted and instead proceeded to post random empty indicator link snippets. ,"
Offline QC Rejected ticket!","Are we able to glean anything meaningful from whether an editor has officially ""Accepted"" a QC rejection about the ticket? If so, this ticket would fail as an outlier case. ",Unsure,1,0,1
198531457455489024,Failing To Provide 1 Strong Or 2 Medium Indicators,https://apollo.geo.apple.com/tickets/kittyhawk-sig/198531457455489024,POI Change Details (Unspecified),Red Fish Teriyaki Asian Express,"
[pafe_processor_todo_hours] Setting to UNREVIEWED because todo has comment",Completion Reason POI - POI Changed,Rejected,Field URL Error - Hours Listing Issue | Research And Comments Error - Failing To Provide 1 Strong Or 2 Medium Indicators | Research And Comments Error - Insufficient Comments Provided,Rejected,,"
Sundays are now open",Hours | Comment,Hours,N/A,Hours Listing Issue | Failing To Provide 1 Strong Or 2 Medium Indicators | Insufficient Comments Provided,,Yes,Yes,Yes,Elvis,06/03/2025,Yes,No,No,OW provides hours,"
Offline QC Rejected ticket! 'is wrong' suggestions only! Unable to determine field applicability of customer comment present!",,Unsure,1,0,1
194029317484717847,Failing To Provide 1 Strong Or 2 Medium Indicators,https://apollo.geo.apple.com/tickets/kittyhawk-sig/194029317484717847,POI Change Details (Unspecified),Pasteur Hayvan Hastanesi,"
Cloned POI for new place | 
ToDo Proceeded using Language Translator | 
Customer suggestions updated as per policy | Complete |
Verified via Official Website | Link: 
justification : Customer suggestions updated as per policy |",Completion Reason POI - POI Added,Rejected,Research And Comments Error - Failing To Provide 1 Strong Or 2 Medium Indicators,,,"

",Name,New POI | Name | URL | Geocode | Phone | Hours | Modern Category,N/A,Failing To Provide 1 Strong Or 2 Medium Indicators,,Yes,Yes,Yes,William,06/03/2025,Yes,No,No,Editor failed to provide indicators in notes.. no other markings.,"
Offline QC Rejected ticket! New POI added! 1 ""Removed"" Name suggestions present!",QC only marked for failing to provide enough indicators. automation will automatically skip since no other markings.,Done,1,0,1
189524985940808586,Failing To Provide 1 Strong Or 2 Medium Indicators,https://apollo.geo.apple.com/tickets/kittyhawk-sig/189524985940808586,POI Morrow (Morrow Maintenance New),Durga Supar Market,"
Special Project: Lookaround study | 
no indicators found with the name and existing address |
cannot verify the existence hence cannot make curation |
No panos in lookaround view hence cannot verify the storefront |
REJECT: Not Enough Information - Customer didn't provide enough information |",Rejection Reason POI - Not Enough Information,Rejected,Field Name Error - Language Or Country Code Guideline Not Followed | Closing Resolutions - Failing To Select Complete | Research And Comments Error - Failing To Provide 1 Strong Or 2 Medium Indicators,,,"
Fully curate each POI and follow full curation Morrow Policy",Comment,Name | Address,N/A,Failing To Select Complete | Failing To Provide 1 Strong Or 2 Medium Indicators,Language Or Country Code Guideline Not Followed,Yes,N/A,Yes,Josh,06/04/2025,Yes,No,No,"2 procedural markings, editor actually edited address too despite QC not marking, acceptable as unclear if Shop No. means unit/sub-premise per se","
Offline QC Rejected ticket! No Corrections col! 'is wrong' suggestions only! Unable to determine field applicability of customer comment present!","automation could output correction edits to fields without a corresponding QC mark?

This example confirms JSON includes corrections but since no edits made originally doesn't confirm whether all would be combined (probably are, just need another example to confirm)",Unsure,1,1,1
194028632849535149,Failing To Provide 1 Strong Or 2 Medium Indicators,https://apollo.geo.apple.com/tickets/kittyhawk-sig/194028632849535149,POI Morrow (Morrow Maintenance New),Tang's House,"
Verified via 3rd Party Sources: News/Wikipedia/Internet searches | Link: https://www.yelp.ca/biz/tangs-house-mississauga |
only this indicator is having the address hence rejecitng |
REJECT: Not Enough Information - Customer didn’t provide enough information |",Rejection Reason POI - Not Enough Information,Rejected,Closing Resolutions - Failing To Select Already Correct | Research And Comments Error - Failing To Provide 1 Strong Or 2 Medium Indicators,Rejected,Research And Comments Error - Failing To Provide 1 Strong Or 2 Medium Indicators | Closing Resolutions - Failing To Select Already Correct,"

",,,N/A,Failing To Select Already Correct | Failing To Provide 1 Strong Or 2 Medium Indicators,,Yes,N/A,Yes,Alexander,06/04/2025,Yes,No,No,"Editor failed to provide more than 1 medium indicators. L1 was able to find and comment 2 of them. Editor disputed as the names are slightly different between the two indicators, but it is clearly the same POI in both regardless. Dispute resolved in favor of L1","
Offline QC Disputed Rejected ticket! Offline QC Rejected ticket! No Corrections col! 'is wrong' suggestions only!","Morrow

Spam Customer Suggestions: spam phone correct",No,1,1,1
